labeler,column,start_date,start_time,end_date,end_time,eat,drink,sleep,chinrest,ride,stand,stand_near_fence,gone,Estrus_stage,Hours_til_estrus
ARIS group 1,"cow-a
(black)",8/9/2023 0:00,0:00:00,9/9/2023 0:00,0:00:00,39107,46,33065,0,0,8402,1488,4165,non-estrus,138
ARIS group 1,"cow-b
(white-pattern)",8/9/2023 0:00,0:00:00,9/9/2023 0:00,0:00:00,7233,226,30910,0,0,10481,2166,35257,non-estrus,690
ARIS group 1,"cow-c
(black-pattern)",8/9/2023 0:00,0:00:00,9/9/2023 0:00,0:00:00,37670,105,34142,0,0,8327,3367,2662,non-estrus,192
ARIS group 1,"cow-a
(black)",8/9/2023 0:00,6:00:00,9/9/2023 0:00,6:00:00,39279,333,28284,0,0,15156,1888,626,non-estrus,132
ARIS group 1,"cow-b
(white-pattern)",8/9/2023 0:00,6:00:00,9/9/2023 0:00,6:00:00,8168,239,31580,0,0,11555,2233,31791,non-estrus,684
ARIS group 1,"cow-c
(black-pattern)",8/9/2023 0:00,6:00:00,9/9/2023 0:00,6:00:00,39328,132,34039,0,0,8432,3470,165,non-estrus,198
ARIS group 1,"cow-a
(black)",8/9/2023 0:00,12:00:00,9/9/2023 0:00,12:00:00,12780,423,28284,53,0,23938,9298,0,non-estrus,126
ARIS group 1,"cow-b
(white-pattern)",8/9/2023 0:00,12:00:00,9/9/2023 0:00,12:00:00,11900,327,34687,0,0,20795,7052,15,non-estrus,678
ARIS group 1,"cow-c
(black-pattern)",8/9/2023 0:00,12:00:00,9/9/2023 0:00,12:00:00,14269,229,34062,0,0,15790,10426,0,non-estrus,204
ARIS group 1,"cow-a
(black)",8/9/2023 0:00,18:00:00,9/9/2023 0:00,18:00:00,18548,796,33659,53,0,23721,9576,0,non-estrus,120
ARIS group 1,"cow-b
(white-pattern)",8/9/2023 0:00,18:00:00,9/9/2023 0:00,18:00:00,14773,645,40291,0,0,23852,6792,0,non-estrus,672
ARIS group 1,"cow-c
(black-pattern)",8/9/2023 0:00,18:00:00,9/9/2023 0:00,18:00:00,21881,124,38456,0,0,14391,11501,0,non-estrus,210
ARIS group 1,"cow-a
(black)",9/9/2023 0:00,0:00:00,10/9/2023 0:00,0:00:00,19573,1028,29690,53,0,25724,9988,0,non-estrus,114
ARIS group 1,"cow-b
(white-pattern)",9/9/2023 0:00,0:00:00,10/9/2023 0:00,0:00:00,15472,607,40311,0,0,22261,7405,0,non-estrus,666
ARIS group 1,"cow-c
(black-pattern)",9/9/2023 0:00,0:00:00,10/9/2023 0:00,0:00:00,22550,370,36509,0,0,14804,11823,0,non-estrus,168
ARIS group 1,"cow-a
(black)",9/9/2023 0:00,6:00:00,10/9/2023 0:00,6:00:00,19947,741,27677,86,0,26413,11524,0,non-estrus,108
ARIS group 1,"cow-b
(white-pattern)",9/9/2023 0:00,6:00:00,10/9/2023 0:00,6:00:00,15493,594,33857,0,0,26686,9758,0,non-estrus,660
ARIS group 1,"cow-c
(black-pattern)",9/9/2023 0:00,6:00:00,10/9/2023 0:00,6:00:00,22987,335,30290,0,0,17768,15008,0,non-estrus,174
ARIS group 1,"cow-a
(black)",9/9/2023 0:00,12:00:00,10/9/2023 0:00,12:00:00,20904,1111,29035,72,0,22451,10472,0,non-estrus,102
